Address,Street,COMMON,x,y
3001,BOSTON ST,tree of heaven,-8523970.756067123,4761378.228192455
3001,BOSTON ST,tree of heaven,-8523877.252366226,4761367.5743015595
3001,BOSTON ST,tree of heaven,-8523972.66106995,4761378.148814299
3001,BOSTON ST,tree of heaven,-8523877.710934235,4761366.542387536
3001,BOSTON ST,tree of heaven,-8523972.184822733,4761379.7363554565
3001,BOSTON ST,tree of heaven,-8523882.297030615,4761372.1604330195
3001,BOSTON ST,tree of heaven,-8523973.692946184,4761379.912754459
3001,BOSTON ST,tree of heaven,-8523972.087816559,4761381.861826736
3001,BOSTON ST,tree of heaven,-8523972.317131117,4761384.613451839
3001,BOSTON ST,tree of heaven,-8523974.839478955,4761382.3203754965
3001,BOSTON ST,tree of heaven,-8523897.7399195,4761368.615062668
